run_id,ACO_UNWIND_THRESHOLD,ACO_TAKE_PROFIT,ACO_PRICE_OFFSET,ACO_PRC_SKEW1,ACO_PRC_SKEW2,ACO_SKEW_LEVEL1,ACO_SKEW_LEVEL2,ACO_MA_WINDOW,total_pnl,pnl_ASH_COATED_OSMIUM,pnl_INTARIAN_PEPPER_ROOT,duration_s
246,10,10,2,2,2,50,65,10,295068.0,46796.0,248272.0,11.1
247,10,10,2,2,2,50,75,5,294942.0,46670.0,248272.0,10.9
248,10,10,2,2,2,50,75,10,295068.0,46796.0,248272.0,11.01
249,10,10,2,2,3,40,65,5,294778.0,46506.0,248272.0,10.9
250,10,10,2,2,3,40,65,10,294912.0,46640.0,248272.0,11.06
251,10,10,2,2,3,40,75,5,294778.0,46506.0,248272.0,10.93
252,10,10,2,2,3,40,75,10,294912.0,46640.0,248272.0,11.03
253,10,10,2,2,3,50,65,5,294942.0,46670.0,248272.0,10.91
254,10,10,2,2,3,50,65,10,295068.0,46796.0,248272.0,11.02
255,10,10,2,2,3,50,75,5,294942.0,46670.0,248272.0,10.91
256,10,10,2,2,3,50,75,10,295068.0,46796.0,248272.0,11.06
257,10,20,1,1,2,40,65,5,301534.5,53262.5,248272.0,11.04
258,10,20,1,1,2,40,65,10,301610.0,53338.0,248272.0,11.02
259,10,20,1,1,2,40,75,5,301534.5,53262.5,248272.0,10.85
260,10,20,1,1,2,40,75,10,301610.0,53338.0,248272.0,11.01
261,10,20,1,1,2,50,65,5,301700.5,53428.5,248272.0,10.91
262,10,20,1,1,2,50,65,10,301776.0,53504.0,248272.0,11.1
263,10,20,1,1,2,50,75,5,301700.5,53428.5,248272.0,10.86
264,10,20,1,1,2,50,75,10,301776.0,53504.0,248272.0,11.02
265,10,20,1,1,3,40,65,5,301534.5,53262.5,248272.0,10.87
266,10,20,1,1,3,40,65,10,301610.0,53338.0,248272.0,11.02
267,10,20,1,1,3,40,75,5,301534.5,53262.5,248272.0,10.93
268,10,20,1,1,3,40,75,10,301610.0,53338.0,248272.0,11.03
269,10,20,1,1,3,50,65,5,301700.5,53428.5,248272.0,10.95
270,10,20,1,1,3,50,65,10,301776.0,53504.0,248272.0,11.08
271,10,20,1,1,3,50,75,5,301700.5,53428.5,248272.0,10.87
272,10,20,1,1,3,50,75,10,301776.0,53504.0,248272.0,11.13
273,10,20,1,2,2,40,65,5,301308.5,53036.5,248272.0,10.94
274,10,20,1,2,2,40,65,10,301402.0,53130.0,248272.0,11.08
275,10,20,1,2,2,40,75,5,301308.5,53036.5,248272.0,10.9
276,10,20,1,2,2,40,75,10,301402.0,53130.0,248272.0,11.14
277,10,20,1,2,2,50,65,5,301640.5,53368.5,248272.0,10.94
278,10,20,1,2,2,50,65,10,301734.0,53462.0,248272.0,11.03
279,10,20,1,2,2,50,75,5,301640.5,53368.5,248272.0,10.99
